DATE,CUST_ID,DEVICE,P/C,製令編碼,vendor,Dut,PROCESS_ID,送修時間,STATUS,NEW針長,NOW針長,已用針長,送修時已使用TD,累積TD,總使用TD,PM TD,MTBF達成率,MTBF判定,送修原因,送修備註,維修成功率
2023/05/04,0,NA01690-AT_NDC1PA,JB1P3S25,A2300036-R1,0,1,6,2023-05-04 19:35:24,定期PM,12,11,0,1,212065,299999,100000,87.9,FAIL,定期PM,PM,PASS
2023/05/04,0,ND02103_RT_NDC1PE,VB8C4S01,T511-2022010008CH,4,8,2,2023-05-04 13:08:45,內修(舊),12,7,5,1,405543,499370,300000,31.3,FAIL,針位不良,ND02103I(COF94AA)-A-X-C_CP2_針位不佳,PASS
2023/05/04,0,NA02152_N4CAPD,VB6ASS01,A2101272,0,6,11,2023-05-04 13:40:04,內修(舊),12,10,1,2,1070700,1192977,300000,40.8,FAIL,"共面不佳,常溫測試",NA02152C(COG48CA)-E-Z1-C_CP2_共面不佳,PASS
2023/05/04,0,NA02025_NDCHPA,JB1F2S06,T511-2021040051CH,4,1,2,2023-05-04 07:42:20,內修(舊),12,7,5,0,1854264,1901887,300000,15.9,FAIL,Short,NA02025C(COF94AA)-A_CP2_Bin3 Short,PASS
2023/05/04,2,SW43414,JB664S13,UOA3C06-2106708,2,6,0,2023-05-04 08:06:06,定期PM,11,9,2,9,1152064,1604829,500000,90.6,PASS,定期PM,IQA_PM,PASS
2023/05/04,1,HX8290A,JB1TAS26,A2200706,0,1,4,2023-05-04 08:17:12,內修(舊),12,10,2,3,584576,744394,500000,32.0,FAIL,共面不佳,IQA_CP3+4_共面不佳,PASS
2023/05/04,1,HX83192-A-PC-SOURCE,JB1E2S22,N5110-21110299-00,1,1,8,2023-05-04 23:21:00,內修(舊),12,6,6,0,2024655,2064469,500000,8.0,FAIL,OPEN,PA5478D_12U-LTB3_CP6_BIN102 OPEN,PASS
2023/05/04,5,R63318,TB2I4S5T,A2200677-R1,0,2,7,2023-05-05 06:36:53,內修(舊),12,8,4,3,1313025,1496592,500000,36.7,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/04,2,SW80004,TC2QTS38,UOS0C02-2206709-R2,2,2,0,2023-05-05 04:50:10,內修(舊),11,4,6,4,5544336,5782850,500000,47.7,FAIL,針位不良,SW80004G_CP1_針位不佳,PASS
2023/05/04,0,NA01837E_NDC1PA,JB1P5S19,A2200008-R1,0,1,5,2023-05-04 13:21:44,外修(舊),12,11,1,0,653909,671855,300000,6.0,FAIL,定期PM,"轉售前PM
",PASS
2023/05/04,0,NA01837E_NDC1PA,JB1P5S17,A2101905-R1,0,1,5,2023-05-04 16:35:34,外修(舊),12,10,2,1,1586601,1666779,300000,26.7,FAIL,定期PM,"""5/4張芸齊MAIL:轉售至USC-JS 前PM
""
",PASS
2023/05/04,3,F108A1,VB1AAS12,A2300212-R1,0,1,16,2023-05-05 01:19:25,內修(舊),12,11,0,6,133568,446239,500000,62.5,FAIL,"共面不佳,常溫測試",F108A1_CP4_共面不佳,PASS
2023/05/04,1,HX83112-F-PC1(HSIF),JB1E9S18,N5110-20020014-00,1,1,1,2023-05-05 01:48:06,定期PM,12,5,6,9,4717716,5178796,500000,92.2,PASS,定期PM,IQA_PM,PASS
2023/05/04,1,HX83192-A-PC-TOUCH,JB1E3S12,N5010-23020058-R1,1,1,12,2023-05-05 01:49:44,內修(舊),11,10,2,6,125117,464832,500000,67.9,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/04,0,NA01761_NDCHPA,JB1PNS08,CB22010001H-R1,3,1,2,2023-05-04 14:37:34,外修(舊),12,10,2,0,786699,807099,100000,20.4,FAIL,"高溫測試,OPEN","NB01761A(COF94AA)-A-C_CP2_BIN2 OPEN
",PASS
2023/05/04,0,NA01837_NDC1PE,JB8P4S04,A2101904-R1,0,8,0,2023-05-04 14:57:58,外修(舊),11,8,2,0,492423,526216,300000,11.3,FAIL,定期PM,"""IQA_CP1_轉賣前PM
",PASS
2023/05/04,4,FAF087(HSIF),VB158S08,A2101021,0,1,5,2023-05-04 10:01:03,內修(舊),11,9,2,1,1880713,1953407,500000,14.5,FAIL,"Function,常溫測試",FAF056E-T1Q_CP2_BIN53、54、56,PASS
2023/05/05,5,R69005,TB2R6S14,A2200979-R1,0,2,2,2023-05-06 02:49:06,內修(舊),11,10,1,0,357829,373246,500000,3.1,FAIL,Function,R69005A0FNCPJDQV-P_CP2_BIN21,PASS
2023/05/05,3,F100A1,JB130S30,A2201186-R1,0,1,1,2023-05-06 01:48:43,內修(舊),11,6,5,4,2750382,2970786,500000,44.1,FAIL,"共面不佳,常溫測試,OPEN",RF100B5.C2_CP2_open(共面不佳),PASS
2023/05/05,0,NB01657_NDCAPB,JB2PSS16,A2101055-R1,0,2,2,2023-05-05 22:30:18,內修(舊),12,7,4,2,2294346,2427548,300000,44.4,FAIL,Function,ND01657B(COF94AA)-A-C_CP2_Dut1 Bin42 Function不穩,PASS
2023/05/05,0,NC01690_NDCHPD,JB6H1S05,A2001502,0,6,0,2023-05-05 08:57:35,內修(舊),12,7,5,1,1470517,1558941,100000,88.4,FAIL,"共面不佳,高溫測試",NC01690F(COG46BA)-A-AT-C_CP1_共面不佳,PASS
2023/05/05,5,R69005,TB2R6S09,A1701211,0,2,2,2023-05-06 02:54:35,外修(舊),11,4,7,0,2845638,2847310,500000,0.3,FAIL,OPEN,"R69005A0FNCPJDQV-P_CP2_OPEN
",FAIL
2023/05/05,2,SW43414,JB164S25,UOA3C01-2109712,2,1,3,2023-05-05 16:02:21,定期PM,12,5,6,9,2975812,3446110,500000,94.1,PASS,定期PM,PM,PASS
2023/05/05,1,HX8179-D00-04,KB4G9S02,A2100669,0,4,2,2023-05-05 21:15:12,內修(舊),11,6,5,1,2658608,2717594,500000,11.8,FAIL,"針位不良,OPEN",PA1738H-18E_CP2_Dut3 固定Pin Open不穩、針位不佳,PASS
2023/05/05,1,HX5287-A,JB1BYS11,A2101057-R1,0,1,1,2023-05-06 05:00:30,內修(舊),12,6,6,7,2049176,2432991,500000,76.8,FAIL,共面不佳,PA6587B_15U90H_CP3_共面不佳,PASS
2023/05/05,5,R69005,TB2R6S09,A1701211,0,2,2,2023-05-05 18:04:43,內修(舊),11,4,7,0,2837235,2845638,500000,1.7,FAIL,Function,R69005A0FNCPJDQV-P_CP2_Bin3 Function,FAIL
2023/05/05,4,FFE062(HSIF),JB1E7S18,A2201168-R1,0,1,2,2023-05-05 18:20:24,定期PM,12,8,4,9,4530079,5004186,500000,94.8,PASS,定期PM,IQA_PM,PASS
2023/05/05,2,SW43414,JB164S30,UOA3C01-2109717,2,1,3,2023-05-05 10:56:42,定期PM,12,5,7,9,4211708,4683644,500000,94.4,PASS,定期PM,IQA_PM,PASS
2023/05/05,1,HX8298-A,TB1R8S84,N5010-21080135-R1,1,1,4,2023-05-06 00:56:08,定期PM,12,5,7,3,1481768,1653588,200000,85.9,FAIL,定期PM,PA5223Q_12U60H-LT_CP3_PM,PASS
2023/05/05,5,R63318(HSIF),TB2C4SDM,A2101844-R2,0,2,2,2023-05-06 01:45:00,定期PM,12,7,5,9,3624419,4081542,500000,91.4,PASS,定期PM,IQA_PM,PASS
2023/05/05,1,HX83108-A-PC,VB4ATS02,N5010-21080067-00,1,4,2,2023-05-05 19:58:11,內修(舊),12,8,4,5,1214066,1495940,500000,56.4,FAIL,"常溫測試,OPEN",PA5494B_DY2_CP2_DUT2-BIN2 OPEN,PASS
2023/05/06,2,SW43413,JB3K0S01,UOA3C03-2004624,2,3,2,2023-05-06 10:08:51,內修(舊),11,7,4,5,2447410,2731768,500000,56.9,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/06,4,FAG036-HSIF,JB1YLS02,A2000393,0,1,0,2023-05-06 23:31:59,內修(舊),12,5,7,8,2630246,3039487,500000,81.9,FAIL,共面不佳,IQA+共面不佳,PASS
2023/05/06,1,HX8292-A,TB1ZIS05,A2100672,0,1,0,2023-05-06 21:27:18,內修(舊),12,11,1,4,0,224120,500000,44.8,FAIL,Short,PA5202G-05B_CP1_固定 PIN Short,PASS
2023/05/06,1,HX83121-A-SOURCE(CP2),VB138S09,N5110-22020164-00,1,1,2,2023-05-06 08:24:09,內修(舊),12,11,1,2,0,141002,500000,28.2,FAIL,共面不佳,"IQA_共面不佳
",PASS
2023/05/06,0,NA01691_NDCAPB,JB2KLS25,N5110-23010059-00,1,2,1,2023-05-07 03:17:27,定期PM,11,10,1,1,499725,575896,100000,76.2,FAIL,定期PM,NA01691_NDCAPB_CP1_定期PM,PASS
2023/05/06,1,HX83192-A-PC-TOUCH,JB1E3S10,N5010-23010010-R1,1,1,12,2023-05-06 11:41:35,定期PM,11,9,2,9,1271447,1738338,500000,93.4,PASS,定期PM,IQA_PM,PASS
2023/05/06,4,FAF056(HSIF),JB1G8S14,A2000456,0,1,0,2023-05-06 14:51:34,定期PM,12,6,6,9,6522993,6993419,500000,94.1,PASS,定期PM,IQA_PM,PASS
2023/05/06,7,ILISRY3CA,JB1LWS16,A2100078-R2,0,1,2,2023-05-06 23:15:24,定期PM,12,5,6,6,3143305,3452056,400000,77.2,FAIL,"共面不佳,高溫測試,定期PM",定期PM,PASS
2023/05/06,0,NA01690-AT_NDC1PA,JB1P3S22,A2201212-R2,0,1,6,2023-05-07 00:41:01,定期PM,12,10,1,1,783743,873062,100000,89.3,FAIL,定期PM,NA01690-AT_NDC1PA_CP2_定期PM,PASS
2023/05/06,3,F100A1(4),VB428S04,A2101375,0,4,7,2023-05-07 06:42:35,內修(舊),11,8,4,6,2208809,2528845,500000,64.0,FAIL,OPEN,RF100B3.C3_CP3_Dut3 OPEN Bin42不穩,PASS
2023/05/06,3,F303A3(4),VB4CMS03,A2201467,0,4,1,2023-05-06 18:18:16,內修(舊),11,11,0,4,4809,223791,500000,43.8,FAIL,OPEN,F303A3(4)_CP1_dut1、dut4 open,PASS
2023/05/06,0,NA01690-AT_NDC1PA,JB1P3S14,A2101902-R1,0,1,6,2023-05-07 04:38:49,定期PM,12,5,6,1,2547038,2639232,100000,92.2,PASS,定期PM,NA01690-AT_NDC1PA_CP2_定期PM,PASS
2023/05/06,1,HX83121-A-SOURCE(CP2),VB138S08,N5010-21120082-00,1,1,2,2023-05-07 03:36:37,內修(舊),12,9,2,2,838991,970391,500000,26.3,FAIL,Function,PA5493C4_CP3_Bin56 Function,PASS
2023/05/07,2,SW80004,TC2QTS37,UOS0C02-2206701-R2,2,2,0,2023-05-07 21:28:16,內修(舊),11,6,5,2,6094384,6224425,500000,26.0,FAIL,針位不良,SW80004G_CP1_針位不佳,PASS
2023/05/07,1,HX83108-A-PC,VB2ATS05,N5010-23030102-00,1,2,7,2023-05-08 06:54:30,內修(舊),11,10,1,1,348857,413318,500000,12.9,FAIL,OPEN,PA5494B_DY2_CP1_Dut2 Open不穩,PASS
2023/05/07,3,F100A1,JB130S31,A2201236-R1,0,1,1,2023-05-08 02:54:21,內修(舊),11,6,5,2,2450444,2591204,500000,28.2,FAIL,共面不佳,RF100B3.C3_CP2_共面不佳,PASS
2023/05/07,5,R63318,TB2I4S5W,A2300129-R1,0,2,7,2023-05-07 12:54:29,內修(舊),11,11,1,2,154146,259619,500000,21.1,FAIL,Function,R63318-A1F-BZ-CP_CP3_DUT2 Bin30,PASS
2023/05/07,5,R69005,TB2R6S12,A2000271-R1,0,2,2,2023-05-07 11:57:22,內修(舊),12,8,4,2,897037,1014766,500000,23.6,FAIL,Function,R69005A0FNCPJDQV-P_CP2_BIN28 Function,PASS
2023/05/07,0,NB01657_NDCAPB,JB2PSS16,A2101055-R1,0,2,2,2023-05-07 07:46:38,內修(舊),12,7,4,0,2427548,2438295,300000,3.6,FAIL,Function,ND01657B(COF94AA)-A-C_CP2_Dut1 Bin42,FAIL
2023/05/07,0,NA01690-AT_NDC1PA,JB1P3S15,A2200427-R1,0,1,6,2023-05-07 15:56:24,定期PM,12,9,3,1,1808883,1900612,100000,91.7,PASS,定期PM,PM,PASS
2023/05/07,2,SW80004,TC2QTS46,UOS0C02-2302608-R2,2,2,0,2023-05-07 16:02:09,定期PM,11,11,0,9,0,455985,500000,91.2,PASS,定期PM,IQA_PM,PASS
2023/05/07,4,FAF087(HSIF),VB158S04,A2000405,0,1,5,2023-05-07 16:02:29,定期PM,12,7,5,0,7215068,7217004,500000,0.4,FAIL,定期PM,5/7光復調至展業維修：PM,FAIL
2023/05/07,1,HX8298-A,TB1R8S76,A2100482-R1,0,1,4,2023-05-08 05:13:40,外修(舊),12,6,6,0,2370571,2370787,200000,0.1,FAIL,Function,"PA5137F-LT1_CP3_驗卡Fail Bin16 Function
",FAIL
2023/05/07,1,HX83112-F-PC3(HSIF),JB2P1S09,N5110-21110247-00,1,2,0,2023-05-07 15:26:04,外修(舊),12,9,3,0,761373,766372,500000,1.0,FAIL,Leakage,"PA5489J_C4_CP1_Dut1 Bin4 Leak
",FAIL
2023/05/07,0,NA01706_NDCHPB,JB2LPS25,CB21010009H-R2,3,2,2,2023-05-08 00:46:55,外修(舊),12,7,6,0,2654562,2662649,300000,2.7,FAIL,針位不良,"NC01706F(COF94AA)-A-C_CP3_針位不佳
",FAIL
2023/05/07,4,FAF087(HSIF),VB158S04,A2000405,0,1,5,2023-05-07 09:38:25,定期PM,12,7,5,9,6755301,7215068,500000,92.0,PASS,定期PM,IQA_PM,PASS
2023/05/07,1,HX83102-J(CP4),VB1DAS02,N5110-22010309-00,1,1,13,2023-05-07 09:35:50,內修(舊),12,9,2,7,1702990,2061255,500000,71.7,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/07,1,HX82102A-LT,VB1A8S11,N5010-22080084-00,1,1,4,2023-05-07 09:42:56,內修(舊),12,9,3,4,562356,807775,500000,49.1,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/07,3,F100A1,JB130S29,A2201185-R1,0,1,1,2023-05-07 17:49:48,內修(舊),12,7,5,2,3181394,3282504,500000,20.2,FAIL,針位不良,F100A1_CP2_針位不佳,PASS
2023/05/07,0,NA01785A_NDCAPA,JB154S08,A2200986-R2,0,1,1,2023-05-07 20:02:20,定期PM,12,10,2,0,1200640,1241710,100000,41.1,FAIL,定期PM,NA01785A_NDCAPA_CP1_定期PM,PASS
2023/05/07,1,HX83112-F-PC2(HSIF),JB1E8S03,N5010-20050017-00,1,1,3,2023-05-07 09:26:40,定期PM,11,7,4,9,1119371,1572772,500000,90.7,PASS,定期PM,IQA_PM,PASS
2023/05/07,1,HX83121-A-SOURCE(CP2),VB138S10,N5010-22020163-00,1,1,2,2023-05-08 00:01:38,內修(舊),12,11,1,1,15773,75469,500000,11.9,FAIL,共面不佳,HX83121-A-SOURCE(CP2)_CP2_共面不佳,PASS
2023/05/07,0,NA01690-AT_NDC1PA,JB1P3S24,A2201470-R1,0,1,6,2023-05-07 21:36:24,定期PM,12,11,1,1,511356,593476,100000,82.1,FAIL,定期PM,定期PM,PASS
2023/05/07,2,SW83316,VB1B6S11,UOA3C01-2301622-R1,2,1,3,2023-05-07 21:58:56,內修(舊),11,9,2,1,1048922,1146649,500000,19.6,FAIL,OPEN,SW83316B_CP3_固定PIN OPEN,PASS
2023/05/07,3,F100A1(4),VB428S03,A2101374,0,4,7,2023-05-07 10:30:09,內修(舊),11,9,2,7,1713537,2071433,500000,71.6,FAIL,共面不佳,F100A1(4)_CP1_共面不佳,PASS
2023/05/07,1,HX8298-A,TB1R8S81,A2100972-R2,0,1,4,2023-05-08 06:41:31,內修(舊),12,9,2,1,499742,564866,200000,32.6,FAIL,OPEN,PA5258D-LT_CP3_VGL Open,PASS
2023/05/07,0,NA02080A_COP_EVEN_MPI_NDC1PA,JB174S07,A2101223,0,1,3,2023-05-08 01:39:34,內修(舊),11,7,4,2,2968064,3095800,300000,42.6,FAIL,共面不佳,NA02080A_COP_EVEN_MPI_NDC1PA_CP3_共面不佳,PASS
2023/05/08,0,NA01690-AT_NDC1PA,JB1P3S17,A2200850-R1,0,1,6,2023-05-08 12:17:19,定期PM,12,11,1,1,1344563,1428817,100000,84.3,FAIL,定期PM,PM,PASS
2023/05/08,3,F100A1,JB130S24,A2200894-R1,0,1,1,2023-05-09 03:19:30,內修(舊),11,5,6,4,3104762,3314216,500000,41.9,FAIL,共面不佳,RF100B3.C3_CP4_共面不佳,PASS
2023/05/08,1,HX8163-A(HSIF),JB1FDS08,A2001260,0,1,2,2023-05-08 13:40:25,內修(舊),12,5,7,1,2481471,2546299,500000,13.0,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/08,1,HX83192-A-PC-TOUCH,JB1E3S11,N5010-23010134-R1,1,1,12,2023-05-09 03:33:34,內修(舊),12,10,2,8,832936,1264111,500000,86.2,FAIL,共面不佳,共面不佳,PASS
2023/05/08,1,HX8298-A,TB1R8S82,A2100973-R2,0,1,4,2023-05-09 01:33:35,內修(舊),12,6,5,0,2517192,2540052,200000,11.4,FAIL,OPEN,PA5223Q_12U60H-LT_CP3_Bin2,PASS
2023/05/08,3,F100A1,JB130S32,A2201237-R1,0,1,1,2023-05-09 07:07:24,內修(舊),12,8,4,5,2111080,2366731,500000,51.1,FAIL,共面不佳,RF100B3.C3_CP4_共面不佳,PASS
2023/05/08,1,HX83192-A-PC-SOURCE,JB1E2S12,N5010-21100088-00,1,1,8,2023-05-08 13:35:18,外修(舊),12,6,6,6,2638701,2967211,500000,65.7,FAIL,針位不良,"""IQA檢驗發現1PIN針位不佳
PAD:518.PIN NAME:TSIX""
",PASS
